"","20634274.G","24664996.G","35592862.G","55583441.G","21000216.G","24073245.G","1797756.G","17260313.G","94549523.G","38056377.G"
"ENSG00000243199",8.28791,1.48805,20.7261,6.34153,13.5629,7.90099,5.88202,9.96365,5.08764,9.73979
"ENSG00000255005",0,0,0,0,0,0,0,0,0,0
"ENSG00000214144",0,0.382145,0,0,0,0,0,0,0,0.109218
"ENSG00000233825",7.23507,10.6729,15.8239,24.4497,19.8523,8.57587,26.5906,24.5635,0,10.7819
"ENSG00000171840",49.528,26.5108,20.3328,25.3973,41.6717,13.1562,25.0661,23.5332,0,14.0679
"ENSG00000253516",0,0,0,0,0,0,0,0,0,0
"ENSG00000217314",0,1.76074,0,0,0,0,0,0,0,0
"ENSG00000238961",0,0,0,0,0,0,0,17.1471,0,0
"ENSG00000255559",2.36349,1.97279,2.33026,0.903843,4.75899,1.02689,3.20385,1.42619,0,5.29655
"ENSG00000255126",0.331735,0,1.10013,0,0,0.808552,0.450871,4.22708,0,4.75673
"ENSG00000258460",0,1.3347,0,0,0,0,0,0,0,0
"ENSG00000223546",4.03842,9.06096,6.60707,11.1831,0,7.0307,3.89648,7.6003,0,3.36899
"ENSG00000230867",0,5.1954,0,0,0,0,0,0,0,0
"ENSG00000100813",32.2827,115.75,50.2654,56.8145,52.3063,55.7245,58.4091,64.0823,61.8395,60.7153
"ENSG00000268560",0.301039,0,0,0,0,0,0.409057,0.452872,0,0.149332
"ENSG00000222078",0,0,0,0,0,0,0,0,0,0
"ENSG00000238047",0.180471,5.68939,0,0,0,0,0,0.137815,0,0.272373
"ENSG00000187391",0.09527,6.61546,0.426427,0,0,0.228637,0,0.233094,0.250145,0.113828
"ENSG00000265076",0,0,0,0,0,0,0,0,0,0
"ENSG00000252113",0,0,0,0,0,0,0,0,0,0
"ENSG00000232600",0,0,1.61609,0,0,0.444528,0,0,0,0.360689
"ENSG00000226426",0,3.93282,0,0,0,0,0,0,0,0
"ENSG00000206824",0,0,0,0,0,0,0,0,0,0
"ENSG00000229206",0,2.82495,0,0,0,0,0,0,0,0
"ENSG00000172046",5.37449,9.57018,12.072,7.17627,14.0945,6.01131,18.0526,7.36764,10.2224,12.8391
"ENSG00000234324",2.94525,0,3.25105,4.14187,0,0.447068,1.50151,1.92407,0,2.90199
"ENSG00000269421",0,0,0.373082,0,0,0,0.227249,0,0,0
"ENSG00000147533",29.8817,20.348,18.5976,33.7318,34.3129,47.5838,27.4596,31.3816,78.8965,26.3478
"ENSG00000268730",0,0,0,0,0,0,0,0,0,0
"ENSG00000262400",0,2.31755,3.12941,10.767,7.02276,3.37048,1.30274,4.12534,35.8545,2.27956
"ENSG00000224245",0,0,0,0,0,0,0,0,0,0
"ENSG00000213790",0.253665,0.1681,0.141593,0,0.05399,0,0.0860354,0.048767,0,0.256893
"ENSG00000215720",1.00318,0,0,0,0,1.54155,0,0.569392,0,0.500458
"ENSG00000263515",0,0,0,0,0,0,0,0,0,0
"ENSG00000018510",3.38858,4.75641,5.45746,0.902173,0.0285894,2.41741,4.78935,3.10387,0,3.55691
"ENSG00000103253",9.06411,2.97367,549.973,29.5442,2.36992,9.65031,9.48621,8.6303,0,7.47544
"ENSG00000266805",0.526988,4.15308,0.422135,0,0,0.237232,0.867418,0.292881,2.7564,1.0791
"ENSG00000160256",4.98942,4.21722,6.59341,0,2.04111,4.09926,8.79092,2.10331,15.7006,3.44869
"ENSG00000171243",0,7.17516,0,0,0,0.0935297,0,0,18.6203,0.114601
"ENSG00000249439",0,0,0,0,0,0,0,0,0,0
"ENSG00000221748",0,0,0,0,0,0,0,0,0,0
"ENSG00000232676",0,0,0,0,0,0,0,0,0,0
"ENSG00000042781",0.0131454,0.680666,0.0961375,0,0.0347455,0.00831545,0.163716,0.0308544,0.132739,0.0372152
"ENSG00000201955",0,0,0,0,0,0,0,0,0,0
"ENSG00000222842",0,3.02576,0,0,0,0,0,0,0,0
"ENSG00000206965",15.2909,332.703,70.2928,173.673,56.1808,115.368,132.896,97.1115,196.801,107.417
"ENSG00000244091",0,10.3049,0,0,0,0,0,0,44.1839,2.04731
"ENSG00000217930",26.005,49.5926,38.9172,26.9193,33.1834,30.7097,33.5518,30.5669,43.017,23.254
"ENSG00000157992",1.71536,5.38753,0.472345,0,4.48859,1.45157,3.54881,1.85663,0,2.3889
"ENSG00000224251",0,0,0.644084,0,3.18204,0,0,0,1.1134,0
